Subzone,PopMale,PopFemale,,,,,,,,Admiralty
ADMIRALTY,6860,7060,,,,,,,,Airport Road
AIRPORT ROAD,-,-,,,,,,,,Alexandra Hill
ALEXANDRA HILL,6630,6860,,,,,,,,Alexandra North
ALEXANDRA NORTH,1230,1400,,,,,,,,Aljunied
ALJUNIED,19740,20250,,,,,,,,Anak Bukit
ANAK BUKIT,10370,11500,,,,,,,,Anchorvale
ANCHORVALE,23700,24420,,,,,,,,Ang Mo Kio Town Centre
ANG MO KIO TOWN CENTRE,2260,2550,,,,,,,,Anson
ANSON,-,-,,,,,,,,Bahar
BAHAR,-,-,,,,,,,,Balestier
BALESTIER,15670,16760,,,,,,,,Bangkit
BANGKIT,11010,11260,,,,,,,,Bayfront Subzone
BAYFRONT SUBZONE,-,-,,,,,,,,Bayshore
BAYSHORE,3580,3870,,,,,,,,Bedok North
BEDOK NORTH,39700,42140,,,,,,,,Bedok Reservoir
BEDOK RESERVOIR,12480,12990,,,,,,,,Bedok South
BEDOK SOUTH,22540,24160,,,,,,,,Bencoolen
BENCOOLEN,620,690,,,,,,,,Bendemeer
BENDEMEER,18240,19330,,,,,,,,Benoi Sector
BENOI SECTOR,-,-,,,,,,,,Bidadari
BIDADARI,-,-,,,,,,,,Bishan East
BISHAN EAST,13420,14880,,,,,,,,Boat Quay
BOAT QUAY,70,60,,,,,,,,Boon Keng
BOON KENG,5630,6160,,,,,,,,Boon Lay Place
BOON LAY PLACE,15060,14270,,,,,,,,Boon Teck
BOON TECK,7210,7450,,,,,,,,Boulevard
BOULEVARD,210,200,,,,,,,,Braddell
BRADDELL,4590,5210,,,,,,,,Bras Basah
BRAS BASAH,-,-,,,,,,,,Brickland
BRICKLAND,-,-,,,,,,,,Brickworks
BRICKWORKS,9800,10020,,,,,,,,Bugis
BUGIS,440,450,,,,,,,,Bukit Batok Central
BUKIT BATOK CENTRAL,13290,14000,,,,,,,,Bukit Batok East
BUKIT BATOK EAST,6290,6410,,,,,,,,Bukit Batok South
BUKIT BATOK SOUTH,7360,7570,,,,,,,,Bukit Batok West
BUKIT BATOK WEST,7300,7700,,,,,,,,Bukit Ho Swee
BUKIT HO SWEE,7050,7340,,,,,,,,Bukit Merah
BUKIT MERAH,550,570,,,,,,,,Cairnhill
CAIRNHILL,1830,2060,,,,,,,,Cecil
CECIL,130,130,,,,,,,,Central Subzone
CENTRAL SUBZONE,410,470,,,,,,,,Central Water Catchment
CENTRAL WATER CATCHMENT,-,-,,,,,,,,Changi Airport
CHANGI AIRPORT,-,-,,,,,,,,Changi Bay
CHANGI BAY,-,-,,,,,,,,Changi Point
CHANGI POINT,300,240,,,,,,,,Changi West
CHANGI WEST,660,650,,,,,,,,Chatsworth
CHATSWORTH,3190,3690,,,,,,,,Cheng San
CHENG SAN,13480,14600,,,,,,,,Chin Bee
CHIN BEE,-,-,,,,,,,,China Square
CHINA SQUARE,670,760,,,,,,,,Chinatown
CHINATOWN,5040,5450,,,,,,,,Choa Chu Kang Central
CHOA CHU KANG CENTRAL,11180,11340,,,,,,,,Choa Chu Kang North
CHOA CHU KANG NORTH,15860,16070,,,,,,,,Chong Boon
CHONG BOON,12860,13640,,,,,,,,City Hall
CITY HALL,-,-,,,,,,,,City Terminals
CITY TERMINALS,-,-,,,,,,,,Clarke Quay
CLARKE QUAY,70,50,,,,,,,,Cleantech
CLEANTECH,-,-,,,,,,,,Clementi Central
CLEMENTI CENTRAL,6600,7400,,,,,,,,Clementi North
CLEMENTI NORTH,13400,15410,,,,,,,,Clementi West
CLEMENTI WEST,7310,7950,,,,,,,,Clementi Woods
CLEMENTI WOODS,7660,8340,,,,,,,,Clifford Pier
CLIFFORD PIER,-,-,,,,,,,,Commonwealth
COMMONWEALTH,3230,3770,,,,,,,,Compassvale
COMPASSVALE,10170,10790,,,,,,,,Coney Island
CONEY ISLAND,-,-,,,,,,,,Coronation Road
CORONATION ROAD,3050,3650,,,,,,,,Crawford
CRAWFORD,4630,3750,,,,,,,,Dairy Farm
DAIRY FARM,3350,3590,,,,,,,,Defu Industrial Park
DEFU INDUSTRIAL PARK,-,-,,,,,,,,Depot Road
DEPOT ROAD,3090,3450,,,,,,,,Dhoby Ghaut
DHOBY GHAUT,160,160,,,,,,,,Dover
DOVER,5260,5820,,,,,,,,Dunearn
DUNEARN,1800,2150,,,,,,,,East Coast
EAST COAST,-,-,,,,,,,,Everton Park
EVERTON PARK,3680,4120,,,,,,,,Faber
FABER,2620,2740,,,,,,,,Fajar
FAJAR,13870,13950,,,,,,,,Farrer Court
FARRER COURT,2900,3280,,,,,,,,Farrer Park
FARRER PARK,1350,1310,,,,,,,,Fernvale
FERNVALE,28860,29950,,,,,,,,Flora Drive
FLORA DRIVE,7200,7470,,,,,,,,Forest Hill
FOREST HILL,-,-,,,,,,,,Fort Canning
FORT CANNING,90,90,,,,,,,,Frankel
FRANKEL,16260,18230,,,,,,,,Gali Batu
GALI BATU,-,-,,,,,,,,Garden
GARDEN,-,-,,,,,,,,Geylang Bahru
GEYLANG BAHRU,5620,5660,,,,,,,,Geylang East
GEYLANG EAST,14540,15380,,,,,,,,Ghim Moh
GHIM MOH,6470,7380,,,,,,,,Gombak
GOMBAK,4840,5090,,,,,,,,Goodwood Park
GOODWOOD PARK,600,660,,,,,,,,Greenwood Park
GREENWOOD PARK,-,-,,,,,,,,Guilin
GUILIN,6290,6650,,,,,,,,Gul Basin
GUL BASIN,-,-,,,,,,,,Gul Circle
GUL CIRCLE,-,-,,,,,,,,Henderson Hill
HENDERSON HILL,6490,6830,,,,,,,,Hillcrest
HILLCREST,4170,5300,,,,,,,,Hillview
HILLVIEW,9290,10000,,,,,,,,Holland Drive
HOLLAND DRIVE,5760,6920,,,,,,,,Holland Road
HOLLAND ROAD,4800,6040,,,,,,,,Hong Kah
HONG KAH,26650,27230,,,,,,,,Hong Kah North
HONG KAH NORTH,13030,13120,,,,,,,,Hougang Central
HOUGANG CENTRAL,2350,2370,,,,,,,,Hougang East
HOUGANG EAST,12110,12810,,,,,,,,Hougang West
HOUGANG WEST,22410,23050,,,,,,,,Institution Hill
INSTITUTION HILL,1500,1650,,,,,,,,International Business Park
INTERNATIONAL BUSINESS PARK,-,-,,,,,,,,Istana Negara
ISTANA NEGARA,-,-,,,,,,,,Jelebu
JELEBU,15370,15940,,,,,,,,Joo Koon
JOO KOON,-,-,,,,,,,,Joo Seng
JOO SENG,4030,4120,,,,,,,,Jurong Gateway
JURONG GATEWAY,210,240,,,,,,,,Jurong Island And Bukom
JURONG ISLAND AND BUKOM,-,-,,,,,,,,Jurong Port
JURONG PORT,-,-,,,,,,,,Jurong River
JURONG RIVER,-,-,,,,,,,,Jurong West Central
JURONG WEST CENTRAL,31810,31950,,,,,,,,Kaki Bukit
KAKI BUKIT,18210,18940,,,,,,,,Kallang Bahru
KALLANG BAHRU,-,-,,,,,,,,Kallang Way
KALLANG WAY,-,-,,,,,,,,Kampong Bugis
KAMPONG BUGIS,460,460,,,,,,,,Kampong Glam
KAMPONG GLAM,80,40,,,,,,,,Kampong Java
KAMPONG JAVA,5140,5390,,,,,,,,Kampong Tiong Bahru
KAMPONG TIONG BAHRU,4440,4560,,,,,,,,Kampong Ubi
KAMPONG UBI,5890,5910,,,,,,,,Kangkar
KANGKAR,15740,16540,,,,,,,,Katong
KATONG,4440,4910,,,,,,,,Keat Hong
KEAT HONG,19010,19170,,,,,,,,Kebun Bahru
KEBUN BAHRU,10660,11970,,,,,,,,Kembangan
KEMBANGAN,18460,19010,,,,,,,,Kent Ridge
KENT RIDGE,-,-,,,,,,,,Khatib
KHATIB,4980,5270,,,,,,,,Kian Teck
KIAN TECK,-,-,,,,,,,,Kim Keat
KIM KEAT,3840,4130,,,,,,,,Kovan
KOVAN,11960,12840,,,,,,,,Kranji
KRANJI,-,-,,,,,,,,Lakeside (Business)
LAKESIDE (BUSINESS),-,-,,,,,,,,Lakeside (Leisure)
LAKESIDE (LEISURE),570,500,,,,,,,,Lavender
LAVENDER,5070,4610,,,,,,,,Leedon Park
LEEDON PARK,2960,3480,,,,,,,,Leonie Hill
LEONIE HILL,1430,1690,,,,,,,,Lim Chu Kang
LIM CHU KANG,60,50,,,,,,,,Little India
LITTLE INDIA,1680,1580,,,,,,,,Liu Fang
LIU FANG,-,-,,,,,,,,Lorong 8 Toa Payoh
LORONG 8 TOA PAYOH,3420,3730,,,,,,,,Lorong Ah Soo
